symbol,index,fno,chg,close,prev_close,volume,avg20v,ratio_pct,n_days_v
THELEELA,Smallcap250,No,-3.66,522.45,542.3,189584.0,628749.0,30.2,20
TTKHLTCARE,Outside Nifty500,No,-3.66,1074.6,1115.4,33869.0,54589.0,62.0,20
BRAHMINFRA,Outside Nifty500,No,-3.65,151.6,157.35,7774.0,19295.0,40.3,20
TITAGARH,Smallcap250,No,-3.65,811.45,842.15,476266.0,761863.0,62.5,20
CHEMPLASTS,Outside Nifty500,No,-3.64,165.12,171.35,241434.0,1154186.0,20.9,20
HITECH,Outside Nifty500,No,-3.64,73.61,76.39,553825.0,949984.0,58.3,20
ICIL,Outside Nifty500,No,-3.64,427.1,443.25,281524.0,865608.0,32.5,20
TARC,Outside Nifty500,No,-3.64,126.61,131.39,473899.0,677844.0,69.9,20
IMAGICAA,Outside Nifty500,No,-3.63,50.43,52.33,686219.0,3370480.0,20.4,20
LANDMARK,Outside Nifty500,No,-3.61,470.35,487.95,61400.0,88930.0,69.0,20
RELIGARE,Outside Nifty500,No,-3.61,247.55,256.81,584107.0,1366511.0,42.7,20
MOLDTKPAC,Outside Nifty500,No,-3.6,652.1,676.45,53186.0,83362.0,63.8,20
TVSSRICHAK,Outside Nifty500,No,-3.6,4960.5,5146.0,5607.0,37257.0,15.0,20
NORTHARC,Outside Nifty500,No,-3.57,294.2,305.1,1045895.0,2768630.0,37.8,20
GOKULAGRO,Outside Nifty500,No,-3.56,218.69,226.76,250526.0,774622.0,32.3,20
BOROLTD,Outside Nifty500,No,-3.55,248.33,257.48,135344.0,1311161.0,10.3,20
SPLPETRO,Smallcap250,No,-3.54,789.35,818.35,170064.0,408301.0,41.7,20
UNIPARTS,Outside Nifty500,No,-3.54,865.7,897.45,115818.0,193841.0,59.7,20
KNRCON,Outside Nifty500,No,-3.53,121.22,125.66,956758.0,1841198.0,52.0,20
NAGREEKEXP,Outside Nifty500,No,-3.53,21.61,22.4,18145.0,80795.0,22.5,20
LMW,Outside Nifty500,No,-3.52,17103.0,17727.0,2531.0,5359.0,47.2,20
ALLTIME,Outside Nifty500,No,-3.51,213.38,221.15,111414.0,170442.0,65.4,20
JAINREC,Smallcap250,No,-3.51,274.7,284.7,694511.0,1247803.0,55.7,20
POWERMECH,Outside Nifty500,No,-3.51,2336.4,2421.3,39034.0,59376.0,65.7,20
GUJRAFFIA,Outside Nifty500,No,-3.5,40.26,41.72,607.0,2124.0,28.6,20
TRIVENI,Outside Nifty500,No,-3.5,246.45,255.4,661461.0,1191068.0,55.5,20
JASH,Outside Nifty500,No,-3.49,496.1,514.05,94635.0,140625.0,67.3,20
UNOMINDA,Midcap150,Yes,-3.49,1159.7,1201.6,417139.0,656860.0,63.5,20
BHARATFORG,Midcap150,Yes,-3.48,1877.2,1944.9,293090.0,966102.0,30.3,20
MOTILALOFS,Midcap150,Yes,-3.48,990.8,1026.5,581522.0,999114.0,58.2,20
NAZARA,Outside Nifty500,No,-3.48,357.4,370.3,1012532.0,1813161.0,55.8,20
AZADIND,Outside Nifty500,No,-3.47,84.11,87.13,13007.0,32518.0,40.0,20
ADOR,Outside Nifty500,No,-3.46,1548.2,1603.7,31262.0,63912.0,48.9,20
MOSCHIP,Outside Nifty500,No,-3.46,203.02,210.29,1146326.0,2147415.0,53.4,20
BAJAJINDEF,Outside Nifty500,No,-3.45,220.69,228.57,10651.0,27760.0,38.4,20
DCMNVL,Outside Nifty500,No,-3.45,172.6,178.77,11960.0,23652.0,50.6,20
EPIGRAL,Outside Nifty500,No,-3.44,1092.2,1131.1,49513.0,77012.0,64.3,20
TECILCHEM,Outside Nifty500,No,-3.44,9.27,9.6,13722.0,44297.0,31.0,20
SOMATEX,Outside Nifty500,No,-3.43,81.62,84.52,4172.0,14929.0,27.9,20
AGI,Outside Nifty500,No,-3.41,736.65,762.65,91711.0,213016.0,43.1,20
VITAL,Outside Nifty500,No,-3.4,53.76,55.65,6752.0,17364.0,38.9,12
DALBHARAT,Midcap150,No,-3.39,1687.4,1746.6,56698.0,280219.0,20.2,20
VTL,Smallcap250,No,-3.39,547.0,566.2,162882.0,1560213.0,10.4,20
ATL,Outside Nifty500,No,-3.38,24.33,25.18,162315.0,328919.0,49.3,20
MANAKCOAT,Outside Nifty500,No,-3.38,124.19,128.53,148602.0,465149.0,31.9,20
EMAMIREAL,Outside Nifty500,No,-3.37,67.45,69.8,5992.0,15970.0,37.5,20
ESSARSHPNG,Outside Nifty500,No,-3.37,15.76,16.31,184779.0,280067.0,66.0,20
SFL,Outside Nifty500,No,-3.37,668.25,691.55,159797.0,284034.0,56.3,20
GNA,Outside Nifty500,No,-3.36,532.6,551.1,183815.0,273787.0,67.1,20
INDBANK,Outside Nifty500,No,-3.36,26.71,27.64,37094.0,90573.0,41.0,20
NELCAST,Outside Nifty500,No,-3.36,104.91,108.56,50573.0,121704.0,41.6,20
GKENERGY,Outside Nifty500,No,-3.35,123.57,127.85,220707.0,640657.0,34.5,20
SAIL,Midcap150,Yes,-3.35,173.0,179.0,10217048.0,25466741.0,40.1,20
TEGA,Smallcap250,No,-3.35,1671.1,1729.1,138967.0,327125.0,42.5,20
MANORAMA,Outside Nifty500,No,-3.34,1987.1,2055.7,151439.0,322234.0,47.0,20
FMGOETZE,Outside Nifty500,No,-3.33,445.65,461.0,274593.0,3946915.0,7.0,20
MOREALTY,Outside Nifty500,No,-3.33,82.37,85.21,790268.0,1321913.0,59.8,20
PVSL,Outside Nifty500,No,-3.33,97.93,101.3,12722.0,32888.0,38.7,20
BOMDYEING,Outside Nifty500,No,-3.32,107.58,111.27,754544.0,1101169.0,68.5,20
CIFL,Outside Nifty500,No,-3.32,19.53,20.2,23450.0,161936.0,14.5,20
HNDFDS,Outside Nifty500,No,-3.32,598.15,618.7,67519.0,113585.0,59.4,20
PFS,Outside Nifty500,No,-3.32,26.51,27.42,303757.0,476626.0,63.7,20
SESHAPAPER,Outside Nifty500,No,-3.32,242.8,251.14,43579.0,65920.0,66.1,20
ADVANCE,Outside Nifty500,No,-3.31,113.95,117.85,66283.0,157771.0,42.0,20
HPIL,Outside Nifty500,No,-3.31,119.77,123.87,353.0,2903.0,12.2,20
HERANBA,Outside Nifty500,No,-3.28,165.95,171.58,25094.0,63861.0,39.3,20
GENCON,Outside Nifty500,No,-3.27,39.67,41.01,240268.0,390744.0,61.5,20
IIFL,Smallcap250,No,-3.26,581.05,600.6,2152091.0,3657186.0,58.8,20
RIR,Outside Nifty500,No,-3.25,171.5,177.26,512746.0,938142.0,54.7,20
CARRARO,Outside Nifty500,No,-3.24,521.0,538.45,95342.0,137475.0,69.4,20
ACI,Outside Nifty500,No,-3.23,455.25,470.45,295921.0,520982.0,56.8,20
KDDL,Outside Nifty500,No,-3.23,3756.5,3881.9,23873.0,51863.0,46.0,20
NAHARINDUS,Outside Nifty500,No,-3.23,127.37,131.62,15027.0,77246.0,19.5,20
AGIIL,Outside Nifty500,No,-3.22,264.15,272.95,382898.0,1147085.0,33.4,20
GARUDA,Outside Nifty500,No,-3.22,176.05,181.9,384253.0,1136236.0,33.8,20
KAYNES,Smallcap250,Yes,-3.22,3392.0,3505.0,689922.0,1106338.0,62.4,20
FACT,Smallcap250,No,-3.21,754.55,779.6,118792.0,1954021.0,6.1,20
GICRE,Midcap150,No,-3.21,338.2,349.4,370114.0,1443909.0,25.6,20
SYMPHONY,Outside Nifty500,No,-3.2,573.7,592.65,81544.0,311452.0,26.2,20
FEDFINA,Outside Nifty500,No,-3.17,153.51,158.53,598566.0,884403.0,67.7,20
LCL,Outside Nifty500,No,-3.17,535.5,553.05,297525.0,715250.0,41.6,20
20MICRONS,Outside Nifty500,No,-3.16,201.29,207.86,111270.0,235908.0,47.2,20
FOODSIN,Outside Nifty500,No,-3.15,53.49,55.23,50438.0,94720.0,53.2,20
NITIRAJ,Outside Nifty500,No,-3.15,225.91,233.25,4441.0,7510.0,59.1,20
SKIPPER,Outside Nifty500,No,-3.15,534.15,551.55,1092523.0,2263524.0,48.3,20
INDIACEM,Smallcap250,No,-3.14,336.0,346.9,61327.0,89365.0,68.6,20
MASKINVEST,Outside Nifty500,No,-3.14,140.8,145.36,190.0,305.0,62.3,19
COMSYN,Outside Nifty500,No,-3.13,289.8,299.15,208274.0,361691.0,57.6,20
GOPAL,Outside Nifty500,No,-3.13,249.3,257.35,99187.0,172557.0,57.5,20
CONCOR,Midcap150,Yes,-3.11,483.7,499.25,566088.0,1169563.0,48.4,20
RAMRAT,Outside Nifty500,No,-3.11,515.85,532.4,217043.0,519534.0,41.8,20
RITCO,Outside Nifty500,No,-3.11,291.35,300.7,60571.0,102793.0,58.9,20
RUCHIRA,Outside Nifty500,No,-3.11,105.44,108.83,37224.0,59283.0,62.8,20
STYLEBAAZA,Outside Nifty500,No,-3.1,376.05,388.1,431277.0,1508193.0,28.6,20
CENTRUM,Outside Nifty500,No,-3.09,21.65,22.34,128168.0,233018.0,55.0,20
VERANDA,Outside Nifty500,No,-3.09,218.28,225.24,149157.0,804894.0,18.5,20
ELECTCAST,Outside Nifty500,No,-3.08,75.23,77.62,1365788.0,2650170.0,51.5,20
METROGLOBL,Outside Nifty500,No,-3.08,134.31,138.58,893.0,2335.0,38.2,20
IONEXCHANG,Outside Nifty500,No,-3.07,432.0,445.7,401926.0,728267.0,55.2,20
PURVA,Outside Nifty500,No,-3.07,205.56,212.06,188428.0,1958919.0,9.6,20
ADFFOODS,Outside Nifty500,No,-3.06,261.3,269.55,65591.0,117125.0,56.0,20
ENEXT50,Outside Nifty500,No,-3.06,70.0,72.21,952.0,2368.0,40.2,20
MADHAV,Outside Nifty500,No,-3.06,35.18,36.29,1158.0,3683.0,31.4,20
MODIS,Outside Nifty500,No,-3.04,354.4,365.5,14475.0,67286.0,21.5,20
BANARISUG,Outside Nifty500,No,-3.03,3411.1,3517.6,1035.0,7511.0,13.8,20
CPL,Outside Nifty500,No,-3.03,62.83,64.79,22223.0,136533.0,16.3,20
JAGSNPHARM,Outside Nifty500,No,-3.03,225.83,232.89,57007.0,94576.0,60.3,20
KIRANVYPAR,Outside Nifty500,No,-3.03,200.75,207.02,3176.0,4872.0,65.2,20
DONEAR,Outside Nifty500,No,-3.02,82.46,85.03,15977.0,30407.0,52.5,20
VIPIND,Outside Nifty500,No,-3.02,291.05,300.1,220240.0,403405.0,54.6,20
MOTISONS,Outside Nifty500,No,-3.01,15.47,15.95,9434969.0,46279540.0,20.4,20
