symbol,index,fno,chg,close,prev_close,volume,avg20v,ratio_pct,n_days_v
RAMAPHO,Outside Nifty500,No,-3.11,118.86,122.67,28796.0,26359.0,109.2,20
MOM30IETF,Outside Nifty500,No,-3.1,30.33,31.3,1202788.0,616616.0,195.1,20
TITAN,Nifty50,Yes,-3.06,4856.0,5009.5,504447.0,483627.0,104.3,20
WAAREERTL,Outside Nifty500,No,-3.05,806.55,831.95,213833.0,93401.0,228.9,20
EMULTIMQ,Outside Nifty500,No,-3.03,40.58,41.85,40554.0,22637.0,179.1,20
INFRA,Outside Nifty500,No,-3.02,11.55,11.91,173654.0,37956.0,457.5,20
KIRLPNU,Outside Nifty500,No,-3.02,698.15,719.9,172157.0,154853.0,111.2,20
REPCOHOME,Outside Nifty500,No,-3.02,348.75,359.6,159662.0,97223.0,164.2,20
DCXINDIA,Outside Nifty500,No,-3.01,161.62,166.63,430267.0,378262.0,113.7,20
DECNGOLD,Outside Nifty500,No,-3.01,222.82,229.73,2417752.0,1677894.0,144.1,20
LAKSHMIMIL,Outside Nifty500,No,-3.01,7565.0,7800.0,96.0,36.0,266.7,19
ACGL,Outside Nifty500,No,-3.0,1732.1,1785.7,944.0,766.0,123.2,20
