symbol,index,fno,chg,close,prev_close,deliv,avg20d,ratio_pct,n_days_d
S&SPOWER,Outside Nifty500,No,-5.0,332.85,350.35,2385.0,3596.0,66.3,20
SETL,Outside Nifty500,No,-5.0,444.75,468.15,193107.0,831270.0,23.2,20
SMLMAH,Outside Nifty500,No,-5.0,6254.0,6583.0,23907.0,40731.0,58.7,20
SUDEEPPHRM,Outside Nifty500,No,-5.0,1142.7,1202.8,67383.0,130857.0,51.5,20
LALITHAA,Outside Nifty500,No,-4.99,321.7,338.6,946810.0,6881144.0,13.8,17
RUBYMILLS,Outside Nifty500,No,-4.99,432.4,455.1,5923.0,20677.0,28.6,6
SHANTIGEAR,Outside Nifty500,No,-4.99,679.25,714.95,42952.0,151155.0,28.4,20
SHREYANIND,Outside Nifty500,No,-4.99,126.17,132.8,3494.0,5442.0,64.2,20
INDOTHAI,Outside Nifty500,No,-4.98,39.12,41.17,440253.0,2299019.0,19.1,20
DIFFNKG,Outside Nifty500,No,-4.95,427.25,449.5,80581.0,150092.0,53.7,20
PGEL,Smallcap250,Yes,-4.95,518.0,545.0,273222.0,390371.0,70.0,20
ALICON,Outside Nifty500,No,-4.94,697.2,733.4,6414.0,15597.0,41.1,20
MARATHON,Outside Nifty500,No,-4.93,414.0,435.45,34122.0,126339.0,27.0,20
ALKALI,Outside Nifty500,No,-4.92,73.45,77.25,6190.0,38678.0,16.0,6
SUMEETINDS,Outside Nifty500,No,-4.92,10.24,10.77,1035087.0,1581565.0,65.4,20
INDOBORAX,Outside Nifty500,No,-4.9,460.8,484.55,45264.0,114030.0,39.7,20
PERNIASPOP,Outside Nifty500,No,-4.9,542.0,569.9,121132.0,397254.0,30.5,6
SAMBHAAV,Outside Nifty500,No,-4.87,5.67,5.96,15405.0,24140.0,63.8,20
PRECWIRE,Outside Nifty500,No,-4.86,440.05,462.55,187547.0,279543.0,67.1,20
STARPAPER,Outside Nifty500,No,-4.85,160.27,168.44,10675.0,18681.0,57.1,20
SPAL,Outside Nifty500,No,-4.81,973.8,1023.0,26947.0,39111.0,68.9,20
BANKA,Outside Nifty500,No,-4.79,77.86,81.78,1874.0,3534.0,53.0,20
OMAXE,Outside Nifty500,No,-4.79,118.04,123.98,262722.0,795611.0,33.0,20
SYNCOMF,Outside Nifty500,No,-4.78,18.53,19.46,2482808.0,4618148.0,53.8,20
SAKHTISUG,Outside Nifty500,No,-4.77,18.95,19.9,87947.0,246841.0,35.6,20
BLUSPRING,Outside Nifty500,No,-4.72,125.27,131.48,91741.0,314792.0,29.1,20
SYMBIOTEC,Outside Nifty500,No,-4.71,1080.1,1133.45,314470.0,1371333.0,22.9,11
CINELINE,Outside Nifty500,No,-4.67,91.81,96.31,7977.0,35168.0,22.7,20
TREL,Outside Nifty500,No,-4.67,25.71,26.97,55034.0,85574.0,64.3,20
INDOSTAR,Outside Nifty500,No,-4.63,233.07,244.38,49563.0,93667.0,52.9,20
ALLCARGO,Outside Nifty500,No,-4.61,11.6,12.16,3986212.0,7598715.0,52.5,20
SAHLIBHFI,Outside Nifty500,No,-4.6,77.91,81.67,28572.0,99331.0,28.8,20
SHIPROCKET,Outside Nifty500,No,-4.6,127.82,133.99,788635.0,7084801.0,11.1,20
DALMIASUG,Outside Nifty500,No,-4.59,398.2,417.35,96715.0,152347.0,63.5,20
GRWRHITECH,Outside Nifty500,No,-4.59,6603.5,6921.5,13501.0,32671.0,41.3,20
JMA,Outside Nifty500,No,-4.57,88.96,93.22,9404.0,18230.0,51.6,20
SHAH,Outside Nifty500,No,-4.56,3.35,3.51,902437.0,4042505.0,22.3,20
MALUPAPER,Outside Nifty500,No,-4.55,32.96,34.53,8843.0,16593.0,53.3,20
DJML,Outside Nifty500,No,-4.53,78.66,82.39,25518.0,117350.0,21.7,20
SAYAJIIND,Outside Nifty500,No,-4.53,113.51,118.9,311.0,1285.0,24.2,20
GODREJAGRO,Outside Nifty500,No,-4.52,645.3,675.85,98871.0,216877.0,45.6,20
3BBLACKBIO,Outside Nifty500,No,-4.51,1355.8,1419.9,5062.0,12562.0,40.3,20
SHIVAAGRO,Outside Nifty500,No,-4.51,37.9,39.69,1543.0,4591.0,33.6,20
RAMCOSYS,Outside Nifty500,No,-4.5,567.8,594.55,26403.0,63595.0,41.5,20
AUTOIND,Outside Nifty500,No,-4.49,79.11,82.83,80453.0,127109.0,63.3,17
OPTIFIN,Outside Nifty500,No,-4.48,13.85,14.5,20283.0,66598.0,30.5,20
VINCOFE,Outside Nifty500,No,-4.48,166.54,174.35,826966.0,1318383.0,62.7,20
KERNEX,Outside Nifty500,No,-4.38,1656.3,1732.1,60822.0,114282.0,53.2,20
WEL,Outside Nifty500,No,-4.37,69.18,72.34,392112.0,1575860.0,24.9,20
