symbol,index,fno,chg,close,prev_close,deliv,avg20d,ratio_pct,n_days_d
NIITLTD,Outside Nifty500,No,-5.59,87.32,92.49,184644.0,227633.0,81.1,20
SBICARD,Midcap150,Yes,-5.59,618.6,655.2,858867.0,2254992.0,38.1,20
MANALIPETC,Outside Nifty500,No,-5.58,80.19,84.93,710416.0,1256774.0,56.5,20
RENUKA,Outside Nifty500,No,-5.55,23.49,24.87,4547563.0,8698338.0,52.3,20
VOLTAMP,Outside Nifty500,No,-5.54,10596.0,11217.0,12927.0,18545.0,69.7,20
MAHABANK,Midcap150,Yes,-5.51,79.56,84.2,6801720.0,7677938.0,88.6,20
IRISDOREME,Outside Nifty500,No,-5.5,58.09,61.47,299566.0,488961.0,61.3,20
VIVIANA,Outside Nifty500,No,-5.48,710.9,752.15,14222.0,14897.0,95.5,6
TARAPUR,Outside Nifty500,No,-5.47,12.26,12.97,20946.0,27051.0,77.4,20
AEPL,Outside Nifty500,No,-5.46,16.27,17.21,43468.0,104123.0,41.7,20
JINDRILL,Outside Nifty500,No,-5.46,598.65,633.25,107597.0,174671.0,61.6,20
JSFB,Outside Nifty500,No,-5.46,488.65,516.85,169568.0,462042.0,36.7,20
APARINDS,Midcap150,No,-5.43,16550.0,17500.0,39728.0,46179.0,86.0,20
FIBERWEB,Outside Nifty500,No,-5.42,25.63,27.1,12784.0,21229.0,60.2,20
ITDC,Outside Nifty500,No,-5.41,653.45,690.85,46971.0,53383.0,88.0,20
PRESTIGE,Midcap150,Yes,-5.41,1417.0,1498.0,169268.0,210137.0,80.6,20
KOTIC,Outside Nifty500,No,-5.38,126.62,133.82,11983.0,12018.0,99.7,20
GRAPHITE,Smallcap250,No,-5.36,781.5,825.8,667045.0,704677.0,94.7,20
CMPDI,Outside Nifty500,No,-5.34,203.74,215.23,755411.0,912973.0,82.7,20
WOCKPHARMA,Smallcap250,No,-5.29,2064.1,2179.4,384055.0,429046.0,89.5,20
ATHERENERG,Smallcap250,Yes,-5.28,1568.5,1656.0,1326951.0,1458505.0,91.0,20
STARCEMENT,Outside Nifty500,No,-5.23,184.93,195.14,171375.0,222834.0,76.9,20
SUDARSCHEM,Outside Nifty500,No,-5.21,1183.2,1248.2,93591.0,220916.0,42.4,20
THEMISMED,Outside Nifty500,No,-5.21,121.57,128.25,65638.0,122027.0,53.8,20
PONNIERODE,Outside Nifty500,No,-5.2,351.8,371.1,12906.0,38726.0,33.3,20
URBANCO,Smallcap250,No,-5.2,158.22,166.89,1962023.0,3762266.0,52.2,20
LUMINO,Outside Nifty500,No,-5.19,103.16,108.81,2314693.0,12679345.0,18.3,9
CURAA,Outside Nifty500,No,-5.16,75.5,79.61,323.0,680.0,47.5,20
FISCHER,Outside Nifty500,No,-5.16,34.02,35.87,180404.0,348450.0,51.8,20
GENUSPOWER,Outside Nifty500,No,-5.14,306.5,323.1,923621.0,1298526.0,71.1,20
PCBL,Smallcap250,No,-5.14,314.05,331.05,450068.0,504098.0,89.3,20
CORDSCABLE,Outside Nifty500,No,-5.13,354.25,373.4,90164.0,202067.0,44.6,12
