symbol,index,fno,chg,close,prev_close,deliv,avg20d,ratio_pct,n_days_d
GNFC,Outside Nifty500,No,-3.88,540.6,562.4,315361.0,300912.0,104.8,20
VIJAYA,Smallcap250,No,-3.88,1443.7,1502.0,65070.0,53016.0,122.7,20
MAANALU,Outside Nifty500,No,-3.86,106.14,110.4,58712.0,36982.0,158.8,20
COFORGE,Midcap150,Yes,-3.85,1775.5,1846.5,2272318.0,1235642.0,183.9,20
KICL,Outside Nifty500,No,-3.85,4846.5,5040.5,812.0,516.0,157.4,20
WEWIN,Outside Nifty500,No,-3.84,40.83,42.46,2476.0,1246.0,198.7,20
CFEL,Outside Nifty500,No,-3.83,47.41,49.3,97728.0,66124.0,147.8,20
KITEX,Outside Nifty500,No,-3.83,119.13,123.87,199658.0,185876.0,107.4,20
MOTHERSON,NiftyNext50,Yes,-3.83,158.15,164.45,8779908.0,5851497.0,150.0,20
SHREDIGCEM,Outside Nifty500,No,-3.83,65.87,68.49,84381.0,72112.0,117.0,20
GMDCLTD,Smallcap250,No,-3.81,553.45,575.35,397889.0,305332.0,130.3,20
LUXIND,Outside Nifty500,No,-3.81,1056.7,1098.6,17417.0,9031.0,192.9,20
VINEETLAB,Outside Nifty500,No,-3.81,35.61,37.02,87085.0,61264.0,142.1,20
EDELWEISS,Outside Nifty500,No,-3.8,127.4,132.43,4099505.0,3971536.0,103.2,20
MANAKALUCO,Outside Nifty500,No,-3.8,35.47,36.87,67845.0,46642.0,145.5,20
JITFINFRA,Outside Nifty500,No,-3.79,279.35,290.35,17416.0,11825.0,147.3,20
VIPCLOTHNG,Outside Nifty500,No,-3.79,20.57,21.38,89899.0,49713.0,180.8,20
SHK,Outside Nifty500,No,-3.77,135.89,141.22,176134.0,167950.0,104.9,20
MITTAL,Outside Nifty500,No,-3.75,0.77,0.8,2036107.0,1244996.0,163.5,20
RKSWAMY,Outside Nifty500,No,-3.74,89.46,92.94,25567.0,21805.0,117.3,20
VAML,Outside Nifty500,No,-3.73,406.0,421.75,5025583.0,4255376.0,118.1,20
TRITONV,Outside Nifty500,No,-3.72,1051.5,1092.1,3541.0,2238.0,158.2,20
ABMKNO,Outside Nifty500,No,-3.71,174.71,181.45,2536.0,789.0,321.4,20
LICHSGFIN,Midcap150,Yes,-3.71,542.0,562.9,2706275.0,2184609.0,123.9,20
MOALPHA50,Outside Nifty500,No,-3.71,54.04,56.12,17789.0,8797.0,202.2,20
ABB,NiftyNext50,Yes,-3.7,7005.0,7274.0,93336.0,85183.0,109.6,20
ASPINWALL,Outside Nifty500,No,-3.7,250.85,260.5,2302.0,2206.0,104.4,20
SUNCLAY,Outside Nifty500,No,-3.7,1250.2,1298.3,4484.0,3805.0,117.8,20
LLOYDSENGG,Outside Nifty500,No,-3.69,79.71,82.76,2579230.0,2440913.0,105.7,20
CCAVENUE,Outside Nifty500,No,-3.68,15.69,16.29,6916668.0,6157157.0,112.3,20
BIRLACABLE,Outside Nifty500,No,-3.67,377.95,392.35,413933.0,342950.0,120.7,6
