sym,entry,exit,qty,entry_px,exit_px,pnl,ret_pct,R,rate,mfe_pct,mae_pct,mfe_R,mae_R,hold
DEEDEV,2026-03-09,2026-04-22,15.0,299.151064,399.77070399999997,1509.2945999999993,33.6350600444463,3.3635060044446288,0.1,37.62277643110772,-16.497037764171218,3.7622776431107714,-1.6497037764171218,44
DEEDEV,2026-04-10,2026-04-22,35.0,332.41794571428574,399.77070399999997,2357.346539999998,20.261468778705517,2.8944955398150722,0.07,23.850112579017456,3.3337713648105227,3.4071589398596362,0.4762530521157889,12
ADAPOW,2026-04-09,2026-04-22,50.0,171.64493,215.970952,2216.301100000001,25.824253591411072,3.6891790844872965,0.07,25.63726758489169,0.3991204400852544,3.6624667978416694,0.05701720572646491,13
NATMIN,2025-12-26,2026-04-23,150.0,82.555912,86.996844,666.1397999999984,5.3793022115726785,0.5379302211572672,0.1,8.750539876538443,-9.043461357437376,0.8750539876538442,-0.9043461357437376,118
DATPAT,2026-04-09,2026-04-23,2.0,3363.758925,3984.5601,1241.6023500000001,18.455578679735506,2.636511239962214,0.07,22.93092615131449,-2.7992173963537037,3.275846593044927,-0.39988819947910054,14
DATPAT,2026-04-20,2026-04-23,1.0,3581.1368333333335,3984.5601,403.4232666666667,11.265229044352342,1.6093184349074785,0.07,15.468919297089133,-3.1704131569765592,2.2098456138698763,-0.45291616528236556,3
TDPSYS,2026-04-10,2026-04-23,25.0,906.2706720000001,1076.091024,4245.508799999999,18.738370030802454,2.676910004400349,0.07,18.115926408352312,1.023902492565698,2.5879894869074724,0.14627178465224258,13
ATHENE,2026-04-16,2026-04-23,10.0,876.410725,896.66256,202.51835000000028,2.310769873337648,0.3301099819053777,0.07,3.319137268659067,-2.905113353102784,0.47416246695129527,-0.4150161933003977,7
CAREVE,2026-02-18,2026-04-23,10.0,698.5048066666666,736.72563,382.2082333333344,5.471805343148173,0.5471805343148168,0.1,6.090894855307183,-19.299052115327353,0.6090894855307183,-1.9299052115327355,64
DEEIN,2026-04-15,2026-04-23,25.0,477.759912,488.468512,267.71499999999975,2.2414186981849493,0.3202026711692794,0.07,2.5515091772706056,-0.7555912309360924,0.36450131103865796,-0.10794160441944177,8
JAYNE,2026-02-18,2026-04-23,100.0,81.433656,97.093921,1566.0264999999995,19.230703580347665,1.9230703580347657,0.1,21.509956522153438,-15.391248060875462,2.1509956522153435,-1.539124806087546,64
ADAPOW,2026-04-13,2026-04-24,50.0,183.28839800000003,211.83447199999998,1427.3036999999974,15.574403132706705,2.2249147332438155,0.07,17.656110453865146,-1.0575672116464374,2.5223014934093064,-0.15108103023520533,11
JAYNE,2026-02-18,2026-04-24,75.0,81.433656,95.66426600000001,1067.295750000001,17.475096537480784,1.7475096537480783,0.1,21.509956522153438,-15.391248060875462,2.1509956522153435,-1.539124806087546,65
JAYNE,2026-04-13,2026-04-24,25.0,84.2493155,95.66426600000001,285.37376250000045,13.549012751326185,1.9355732501894531,0.07,17.449025446384802,3.395498803785535,2.4927179209121144,0.4850712576836478,11
JAYNE,2026-04-13,2026-04-27,100.0,84.2493155,105.801245,2155.19295,25.5811330597695,3.6544475799670697,0.07,23.50248709142331,3.395498803785535,3.3574981559176154,0.4850712576836478,14
INDMFA,2026-04-27,2026-04-27,20.0,1537.230725,1531.43244,-115.96569999999701,-0.37719028807466914,-0.05388432686781012,0.07,-0.9972949896639438,-0.9972949896639438,-0.14247071280913481,-0.14247071280913481,0
ASHMIN,2026-04-27,2026-04-27,30.0,642.0963533333332,625.11651,-509.39529999999877,-2.644438524714454,-0.37777693210206453,0.07,-3.0986554011784517,-3.0986554011784517,-0.4426650573112073,-0.4426650573112073,0
NATMIN,2025-12-26,2026-04-27,50.0,82.555912,90.3264855,388.5286749999999,9.412497920197405,0.94124979201974,0.1,9.525772061000293,-9.043461357437376,0.9525772061000292,-0.9043461357437376,122
NATMIN,2026-02-04,2026-04-27,100.0,86.36353199999999,90.3264855,396.2953500000012,4.588688545067865,0.45886885450678555,0.1,4.696968623284192,-13.053579142640892,0.4696968623284192,-1.305357914264089,82
NATMIN,2026-04-16,2026-04-27,50.0,87.776377,90.3264855,127.50542500000037,2.9052332611085196,0.4150333230155026,0.07,3.011770467582653,-0.7022128516423032,0.430252923940379,-0.10031612166318617,11
NEYLIG,2026-04-15,2026-04-27,25.0,279.010626,314.63352249999997,890.5724124999992,12.767576995436713,1.8239395707766732,0.07,12.486755253543658,-1.365763754101612,1.7838221790776654,-0.19510910772880172,12
NEYLIG,2026-04-16,2026-04-27,15.0,302.77052133333336,314.63352249999997,177.9450174999991,3.918149334494192,0.5597356192134565,0.07,3.6593650590140525,-1.9389342487772354,0.5227664370020074,-0.2769906069681765,11
SARENE,2026-04-16,2026-04-27,20.0,598.8731133333333,613.836035,299.2584333333343,2.498512845798495,0.3569304065426422,0.07,2.30881740369111,-4.170017450663755,0.3298310576701586,-0.5957167786662507,11
JAYNE,2026-04-13,2026-04-27,75.0,84.2493155,104.59138300000001,1525.655062500001,24.145083410202915,3.4492976300289877,0.07,23.50248709142331,3.395498803785535,3.3574981559176154,0.4850712576836478,14
JAYNE,2026-04-16,2026-04-27,25.0,98.437714,104.59138300000001,153.8417250000002,6.251332695515477,0.8930475279307811,0.07,5.701357510191674,-3.146877222280875,0.8144796443130962,-0.44955388889726783,11
ATHENE,2026-04-20,2026-04-28,15.0,877.13114,948.57854,1071.7110000000002,8.14557786649781,1.16365398092826,0.07,7.3043650006543,0.6690972116210725,1.0434807143791855,0.09558531594586749,8
KRNHEA,2026-04-23,2026-04-28,20.0,1247.102455,1350.793095,2073.8128000000006,8.314524567269821,1.1877892238956882,0.07,6.514905385219527,0.04791466792517518,0.9307007693170752,0.0068449525607393105,5
JAYNE,2026-04-16,2026-04-28,75.0,98.437714,109.54182,832.8079500000001,11.280337127698846,1.611476732528406,0.07,11.552773360827938,-3.146877222280875,1.650396194403991,-0.44955388889726783,12
JAYNE,2026-04-21,2026-04-28,25.0,100.375048,109.54182,229.16929999999985,9.132520663900445,1.3046458091286355,0.07,9.399698618325946,-4.577878757278409,1.3428140883322777,-0.6539826796112013,7
NETTEC,2026-04-15,2026-04-29,2.0,3473.7799,4107.929566666667,1268.2993333333334,18.25532085860324,2.6079029798004623,0.07,16.04074282311323,2.5885376330262,2.291534689016175,0.36979109043231423,14
NETTEC,2026-04-16,2026-04-29,1.0,3752.5623,4107.929566666667,355.36726666666664,9.469989789820854,1.352855684260122,0.07,7.419935439846004,-1.1768572103386554,1.0599907771208577,-0.1681224586198079,13
ADAPOR,2026-04-27,2026-04-29,10.0,1652.2977749999998,1664.2202300000001,119.22455000000355,0.7215681810138763,0.10308116871626895,0.07,0.5327263119990766,-1.4402836679968112,0.07610375885701094,-0.20575480971383014,2
DELLIM,2026-04-17,2026-04-29,30.0,467.449455,465.32724500000006,-63.66629999999816,-0.4539977482699076,-0.06485682118141486,0.07,0.9841802040393866,-3.8612634600247886,0.14059717200562663,-0.5516090657178269,12
DELLIM,2026-04-21,2026-04-29,10.0,476.4214333333333,465.32724500000006,-110.9418833333325,-2.3286501313997565,-0.3326643044856789,0.07,-0.9175559761759877,-5.67175014446244,-0.13107942516799825,-0.8102500206374914,8
ADAPOW,2026-04-16,2026-04-29,50.0,188.89957600000002,218.152672,1462.6547999999984,15.486056993584763,2.2122938562263945,0.07,18.237427912490368,2.271272435254157,2.6053468446414803,0.32446749075059383,13
CAREVE,2026-02-18,2026-04-30,5.0,698.5048066666666,707.7781933333333,46.36693333333369,1.327605276035282,0.13276052760352858,0.1,6.090894855307183,-19.299052115327353,0.6090894855307183,-1.9299052115327355,71
CAREVE,2026-04-20,2026-04-30,10.0,716.95072,707.7781933333333,-91.72526666666727,-1.2793803549938199,-0.1827686221419738,0.07,3.3613579466103216,-1.3739744901853257,0.48019399237290306,-0.19628207002647508,10
ADAPOR,2026-04-27,2026-04-30,10.0,1652.2977749999998,1621.37351,-309.2426499999988,-1.871591517455129,-0.26737021677930456,0.07,0.5327263119990766,-1.4402836679968112,0.07610375885701094,-0.20575480971383014,3
BHAFOR,2026-04-29,2026-04-30,10.0,1947.7986250000001,1877.95336,-698.4526500000015,-3.5858565718003943,-0.5122652245429129,0.07,-2.053529789302533,-3.398638039391788,-0.2933613984717904,-0.4855197199131125,1
KARBAN,2026-04-08,2026-04-30,100.0,243.702009,268.894361,2519.2352,10.337359180325834,1.4767655971894054,0.07,10.220675283805324,-1.1333550393505365,1.460096469115046,-0.16190786276436234,22
GUJMI,2026-04-10,2026-05-04,10.0,609.6247142857143,724.1479999999999,1145.2328571428563,18.785866620986713,2.6836952315695304,0.07,22.49339347650181,-1.0702837553689282,3.2133419252145443,-0.15289767933841827,24
GUJMI,2026-04-13,2026-05-04,10.0,617.9913176470588,724.1479999999999,1061.5668235294106,17.177698022865794,2.453956860409398,0.07,20.8350309585541,-0.5487646104755828,2.976432994079157,-0.07839494435365467,21
INDMFA,2026-04-27,2026-05-04,20.0,1534.785545,1389.406375,-2907.5833999999986,-9.472279073360701,-1.353182724765814,0.07,7.760983636316432,-6.833889291027939,1.1087119480452043,-0.976269898718277,7
TDPSYS,2026-04-24,2026-05-04,15.0,1092.62924,1144.1643266666665,773.026299999998,4.716612440892254,0.6738017772703225,0.07,6.394736424956005,-0.2589387045874747,0.9135337749937149,-0.036991243512496386,10
ZYDWEL,2026-04-13,2026-05-04,20.0,525.2936175,514.70218,-211.82874999999967,-2.0162890138294864,-0.2880412876899266,0.07,-1.4265578812215463,-6.814021017493133,-0.20379398303164944,-0.9734315739275903,21
VENREM,2026-04-10,2026-05-04,15.0,995.8345033333334,970.4384299999999,-380.9411000000017,-2.550230309185486,-0.364318615597927,0.07,7.3521751276536484,-8.398433982090946,1.0503107325219498,-1.1997762831558492,24
VENREM,2026-04-10,2026-05-04,15.0,1025.76846,970.4384299999999,-829.9504500000012,-5.394007727630856,-0.7705725325186944,0.07,4.2194258926619765,-11.071549226615918,0.6027751275231394,-1.5816498895165596,24
VENREM,2026-04-15,2026-05-04,10.0,1072.02198,970.4384299999999,-1015.8355000000006,-9.475883134411111,-1.3536975906301587,0.07,-0.27723125602331367,-14.908461111963389,-0.03960446514618766,-2.1297801588519123,19
NATMIN,2026-04-16,2026-05-04,150.0,87.776377,88.448341,100.7946000000004,0.7655408242698503,0.1093629748956915,0.07,4.5041993473939,-0.7022128516423032,0.6434570496277,-0.10031612166318617,18
NATMIN,2026-04-27,2026-05-04,50.0,90.8836305,88.448341,-121.7644749999998,-2.679568902124785,-0.3827955574463978,0.07,0.9312672649009146,-1.9735462702493933,0.13303818070013063,-0.281935181464199,7
ATHENE,2026-04-22,2026-05-05,10.0,913.4359000000001,908.8004733333333,-46.35426666666717,-0.5074714784766732,-0.07249592549666777,0.07,3.039523627218932,-3.332023626397873,0.4342176610312759,-0.4760033751996961,13
ATHENE,2026-04-23,2026-05-05,5.0,939.14077,908.8004733333333,-151.70148333333316,-3.2306441841159383,-0.4615205977308482,0.07,0.21926744805254028,-5.977886573915859,0.0313239211503629,-0.8539837962736941,12
JAYNE,2026-04-21,2026-05-05,50.0,100.375048,110.83974733333334,523.2349666666664,10.4255983352888,1.4893711907555418,0.07,14.809409605462886,-4.577878757278409,2.115629943637555,-0.6539826796112013,14
JAYNE,2026-04-23,2026-05-05,100.0,97.74469800000001,110.83974733333334,1309.5049333333322,13.39719657564784,1.913885225092548,0.07,17.898978009016897,-2.0100302524849067,2.556996858430985,-0.2871471789264152,12
JAYNE,2026-04-24,2026-05-05,100.0,97.724598,110.83974733333334,1311.5149333333334,13.420520116473988,1.9172171594962837,0.07,17.923227476464,-1.9898756708111476,2.5604610680662856,-0.2842679529730211,11
JAYNE,2026-04-27,2026-05-05,100.0,103.862492,110.83974733333334,697.7255333333333,6.717781558075209,0.9596830797250286,0.07,10.954395355736303,0.18053485564355487,1.564913622248043,0.025790693663364977,8
JAYNE,2026-04-27,2026-05-05,100.0,103.908693,110.83974733333334,693.1054333333336,6.670331550925512,0.9529045072750739,0.07,10.905061619820389,0.13599150939180848,1.5578659456886268,0.019427358484544067,8
ZYDWEL,2026-04-13,2026-05-05,20.0,525.2936175,502.0835599999999,-464.20115000000123,-4.418492196890256,-0.6312131709843226,0.07,-1.4265578812215463,-6.814021017493133,-0.20379398303164944,-0.9734315739275903,22
ZYDWEL,2026-04-13,2026-05-05,20.0,538.185025,502.0835599999999,-722.0293000000015,-6.7080025127046365,-0.9582860732435194,0.07,-3.7877354539918806,-9.046150067070336,-0.5411050648559829,-1.2923071524386194,22
DYNTEC,2026-02-17,2026-05-05,1.0,9648.8403,12166.4442,2517.6039,26.09229525749328,2.6092295257493276,0.1,28.68904048500005,-6.620902410417129,2.8689040485000046,-0.6620902410417128,77
ATHENE,2026-04-23,2026-05-05,5.0,939.14077,929.3751466666668,-48.82811666666612,-1.0398465965153703,-0.14854951378790976,0.07,0.21926744805254028,-5.977886573915859,0.0313239211503629,-0.8539837962736941,12
ATHENE,2026-04-29,2026-05-05,10.0,954.0668533333334,929.3751466666668,-246.9170666666662,-2.5880478480515667,-0.36972112115022354,0.07,-1.642112738598589,-2.103296353208739,-0.23458753408551267,-0.3004709076012484,6
SCI,2026-04-28,2026-05-05,75.0,298.47970933333335,319.9027733333333,1606.7297999999964,7.177393749092431,1.0253419641560628,0.07,7.327228613132486,1.547941291214161,1.046746944733212,0.22113447017345153,7
ABB,2026-04-08,2026-05-05,2.0,6576.21305,7337.2873,1522.1484999999993,11.573138586195885,1.6533055123136984,0.07,15.370349809454531,-0.17050922643085942,2.195764258493504,-0.0243584609186942,27
SYRTEC,2026-04-16,2026-05-06,10.0,953.1648366666667,1046.9538,937.889633333333,9.839742269692264,1.4056774670988956,0.07,11.140272830948694,0.6069425886045865,1.5914675472783846,0.08670608408636948,20
DSPPSU,2025-10-23,2026-05-06,250.0,80.081056,85.6950812,1403.5063,7.010428533809554,0.7010428533809544,0.1,24.08677527928702,-1.7245726629778746,2.408677527928702,-0.17245726629778746,195
LUPIN,2026-02-26,2026-05-06,10.0,2329.18068,2441.93456,1127.538800000002,4.840924577821948,0.48409245778219406,0.1,4.882374346330232,-3.3351075194389734,0.4882374346330231,-0.33351075194389734,69
NATPHA,2026-04-08,2026-05-06,10.0,1115.25488,1147.97559,327.20710000000054,2.93392215418955,0.4191317363127925,0.07,3.1244086553559702,-5.3445074367215355,0.4463440936222814,-0.7635010623887907,28
NATPHA,2026-04-08,2026-05-06,15.0,1115.25488,1148.957108,505.53342000000157,3.0219305563585763,0.4317043651940814,0.07,3.1244086553559702,-5.3445074367215355,0.4463440936222814,-0.7635010623887907,28
NATPHA,2026-05-04,2026-05-06,10.0,1130.118952,1148.957108,188.38156000000026,1.666917979444693,0.23813113992067148,0.07,1.768048218697582,-1.3732140295971362,0.2525783169567974,-0.19617343279959087,2
SYRTEC,2026-04-16,2026-05-07,10.0,953.1648366666667,1096.85117,1436.863333333332,15.074657373620903,2.1535224819458416,0.07,14.71258253963217,0.6069425886045865,2.1017975056617377,0.08670608408636948,21
BAJCOR,2026-04-10,2026-05-07,10.0,412.328644,507.85187,955.2322600000002,23.166769369532325,3.3095384813617614,0.07,26.440403204197473,1.993884276446245,3.777200457742495,0.2848406109208921,27
BAJCOR,2026-04-17,2026-05-07,20.0,459.83082750000005,507.85187,960.4208499999993,10.443197721448971,1.4918853887784247,0.07,13.378653370080972,-2.496750285842897,1.9112361957258532,-0.35667861226327097,20
BANMAH,2026-02-18,2026-05-07,100.0,68.31732120000001,84.06598050000001,1574.86593,23.05222017399593,2.3052220173995925,0.1,24.873163205936688,-10.227744702612851,2.4873163205936684,-1.022774470261285,78
BANMAH,2026-02-24,2026-05-07,100.0,71.54686333333333,84.06598050000001,1251.9117166666674,17.4977861829396,1.7497786182939592,0.1,19.236533965919488,-14.279959815615495,1.923653396591949,-1.4279959815615495,72
NEYLIG,2026-04-16,2026-05-07,30.0,302.77052133333336,321.6288,565.7483599999995,6.228571587358966,0.8897959410512822,0.07,8.564069762300175,-1.9389342487772354,1.2234385374714536,-0.2769906069681765,21
ADIAMC,2026-02-26,2026-05-07,10.0,933.378728,1094.95622,1615.77492,17.311032183711816,1.7311032183711816,0.1,16.63004173371303,-7.009879916611938,1.6630041733713026,-0.7009879916611939,70
DYNTEC,2026-02-17,2026-05-08,1.0,9648.8403,12314.3995,2665.5591999999997,27.625695079645986,2.7625695079645993,0.1,29.860165682294483,-6.620902410417129,2.9860165682294477,-0.6620902410417128,80
ABB,2026-04-08,2026-05-08,2.0,6576.21305,7086.29495,1020.1638000000003,7.756468595554389,1.1080669422220568,0.07,15.370349809454531,-0.17050922643085942,2.195764258493504,-0.0243584609186942,30
NETTEC,2026-04-16,2026-05-08,2.0,3752.5623,4366.7114,1228.2982000000002,16.366126686291118,2.3380180980415894,0.07,17.844812329964512,-1.1768572103386554,2.549258904280644,-0.1681224586198079,22
NETTEC,2026-04-21,2026-05-08,1.0,3925.9642,4366.7114,440.74720000000025,11.226470175148329,1.6037814535926167,0.07,12.639845263999106,-2.5767988409063913,1.8056921805713007,-0.36811412012948447,17
SOUWES,2026-04-09,2026-05-08,100.0,228.463728,213.60121571428573,-1486.2512285714274,-6.505414411216415,-0.9293449158880592,0.07,12.157847656237152,-5.4160579923654195,1.7368353794624498,-0.7737225703379169,29
SOUWES,2026-04-13,2026-05-08,40.0,251.00419000000002,213.60121571428573,-1496.1189714285717,-14.90133462939973,-2.1287620899142468,0.07,2.0859452585233695,-13.909803657062469,0.2979921797890528,-1.9871148081517813,25
ABB,2026-04-09,2026-05-08,2.0,6614.78925,7052.824333333334,876.0701666666682,6.62205652785286,0.946008075407551,0.07,14.69753174675974,-0.011931597064862576,2.0996473923942487,-0.0017045138664089391,29
ABB,2026-05-05,2026-05-08,2.0,7295.0912,7052.824333333334,-484.53373333333184,-3.320957340007835,-0.4744224771439769,0.07,0.45110882232699545,-3.873717164769641,0.06444411747528504,-0.5533881663956629,3
ABB,2026-05-05,2026-05-08,2.0,7351.7576,7052.824333333334,-597.866533333332,-4.06614693970141,-0.5808781342430588,0.07,-0.32315537715770226,-4.614646162980129,-0.04616505387967174,-0.6592351661400183,3
LUPIN,2026-04-23,2026-05-08,5.0,2366.82488,2390.1067125,116.40916249999918,0.983673642132743,0.14052480601896275,0.07,3.9409387989870925,-2.988175449634456,0.5629912569981561,-0.4268822070906365,15
LUPIN,2026-05-06,2026-05-08,3.0,2376.75634,2390.1067125,40.051117500000146,0.5617055596031317,0.08024365137187678,0.07,3.5066135555149147,0.11543715919992703,0.5009447936449878,0.016491022742846716,2
DYNTEC,2026-02-18,2026-05-11,1.0,10551.2038,12093.036,1541.8322000000007,14.612855833568506,1.4612855833568494,0.1,18.75422214856659,-14.606900115037103,1.8754222148566588,-1.46069001150371,82
JAYNE,2026-05-05,2026-05-11,150.0,112.877628,111.81304866666667,-159.6868999999991,-0.9431269527858333,-0.13473242182654743,0.07,1.8182274347579463,-2.106376650650388,0.2597467763939923,-0.3009109500929125,6
INOIND,2026-05-04,2026-05-11,25.0,1484.39496,1449.892752,-862.5552000000027,-2.3243280211622475,-0.3320468601660351,0.07,4.722802346351274,-1.7579526139054114,0.6746860494787533,-0.251136087700773,7
CPSETF,2026-02-24,2026-05-11,150.0,102.01523066666667,105.67765066666666,549.3629999999996,3.59007177268158,0.35900717726815745,0.1,6.660544007918934,-2.2204828160103607,0.6660544007918934,-0.2220482816010361,76
BHAELE,2026-02-01,2026-05-11,40.0,437.1793575,433.74022615384615,-137.56525384615315,-0.786663708419455,-0.07866637084194508,0.1,7.152817708233172,-8.35569129084509,0.7152817708233171,-0.8355691290845091,99
BHAELE,2026-03-05,2026-05-11,25.0,463.909876,433.74022615384615,-754.2412461538461,-6.503342870448792,-0.6503342870448795,0.1,0.9786650888199633,-13.636242570528944,0.09786650888199633,-1.3636242570528945,67
DEEIN,2026-04-23,2026-05-11,25.0,492.524012,459.093024,-835.7747000000004,-6.787686932104342,-0.9696695617291913,0.07,0.6245356419292802,-7.842056642712492,0.0892193774184686,-1.1202938061017844,18
ONGC,2026-04-28,2026-05-11,75.0,293.940632,279.32846133333334,-1095.9127999999992,-4.971129907166649,-0.710161415309521,0.07,2.537712445280449,-5.014833063296942,0.3625303493257784,-0.7164047233281345,13
OILIND,2026-04-28,2026-05-11,40.0,492.53958249999994,455.54928,-1479.612099999997,-7.510117727441723,-1.0728739610631028,0.07,0.946201618222231,-8.586027195083334,0.13517165974603298,-1.2265753135833335,13
POWGRI,2026-04-15,2026-05-11,50.0,304.01101600000004,311.11912,355.40519999999844,2.3381073796352014,0.3340153399478866,0.07,5.555385532476875,2.266031044085559,0.7936265046395536,0.3237187205836513,26
COALIN,2026-01-29,2026-05-11,25.0,452.309108,460.34058,200.7868000000002,1.7756600205362183,0.1775660020536223,0.1,6.442694052492981,-9.586167342887109,0.6442694052492981,-0.9586167342887106,102
COALIN,2026-03-12,2026-05-11,25.0,465.42352400000004,460.34058,-127.07360000000136,-1.0921115366742895,-0.10921115366742945,0.1,3.443417698844109,-7.020170299771966,0.34434176988441084,-0.7020170299771965,60
RISINS,2026-05-08,2026-05-11,2.0,525.940885,518.5785999999999,-14.724570000000085,-1.3998312757145803,-0.19997589653065403,0.07,0.22989560889528082,-4.647078349879563,0.03284222984218298,-0.6638683356970805,3
RISINS,2026-05-08,2026-05-11,18.0,525.940885,498.06031666666667,-501.85022999999967,-5.3010840435676165,-0.7572977205096597,0.07,0.22989560889528082,-4.647078349879563,0.03284222984218298,-0.6638683356970805,3
BLIGVS,2026-04-22,2026-05-11,50.0,275.253108,271.04900399999997,-210.20520000000147,-1.527359320498578,-0.21819418864265464,0.07,0.547456851967687,-4.567835070548954,0.07820812170966956,-0.6525478672212791,19
SMSPHA,2026-03-11,2026-05-11,25.0,428.21029749999997,415.894012,-307.9071374999998,-2.87622356863102,-0.2876223568631016,0.1,2.356249384684639,-14.504624915051224,0.23562493846846386,-1.450462491505122,61
SARENE,2026-04-16,2026-05-11,20.0,598.8731133333333,577.322165,-431.0189666666656,-3.5985833816082557,-0.5140833402297501,0.07,2.30881740369111,-4.170017450663755,0.3298310576701586,-0.5957167786662507,25
DYNTEC,2026-05-05,2026-05-11,1.0,11575.7369,11273.751900000001,-301.98499999999876,-2.6087756020093944,-0.37268222885848507,0.07,8.243648834140306,-2.191971899430434,1.1776641191629007,-0.31313884277577625,6
DYNTEC,2026-05-05,2026-05-11,1.0,12204.3261,11273.751900000001,-930.5741999999991,-7.624953581009275,-1.0892790830013244,0.07,2.6685119467595886,-7.229617537014188,0.38121599239422693,-1.0328025052877412,6
DYNTEC,2026-05-08,2026-05-11,1.0,12805.4256,11273.751900000001,-1531.6736999999994,-11.96113075695039,-1.7087329652786274,0.07,-2.1508508081137134,-11.584352182718549,-0.3072644011591019,-1.6549074546740785,3
LUPIN,2026-05-06,2026-05-11,7.0,2376.75634,2236.6356333333333,-980.8449466666661,-5.895459467530717,-0.8422084953615312,0.07,3.5066135555149147,-5.084927637134218,0.5009447936449878,-0.7264182338763168,5
LUPIN,2026-05-08,2026-05-11,8.0,2459.5692124999996,2236.6356333333333,-1783.4686333333302,-9.063927863207722,-1.2948468376011033,0.07,-3.2554161148656724,-8.280686368365398,-0.4650594449808103,-1.1829551954807709,3
TOUFIN,2026-05-06,2026-05-11,150.0,77.433282,80.71930266666666,492.90309999999874,4.243679954914814,0.6062399935592586,0.07,8.080140526653622,3.7280067762076596,1.154305789521946,0.5325723966010942,5
NETTEC,2026-04-21,2026-05-12,4.0,3925.9642,4008.5268285714287,330.2505142857153,2.1029898482372467,0.30042712117675024,0.07,12.639845263999106,-2.5767988409063913,1.8056921805713007,-0.36811412012948447,21
NETTEC,2026-05-05,2026-05-12,3.0,4153.2447,4008.5268285714287,-434.1536142857144,-3.4844532860915045,-0.4977790408702156,0.07,6.475787472864281,-3.304517549856867,0.9251124961234686,-0.4720739356938381,7
EDEFIN,2026-02-10,2026-05-12,50.0,121.834854,119.63666666666667,-109.90936666666684,-1.804235209518401,-0.18042352095183997,0.1,4.731934919050329,-18.19253955029979,0.47319349190503285,-1.8192539550299789,91
EDEFIN,2026-02-17,2026-05-12,100.0,121.98515900000001,119.63666666666667,-234.84923333333398,-1.9252279150887008,-0.1925227915088703,0.1,4.602888618606449,-18.29333927416532,0.4602888618606448,-1.8293339274165317,84
DEEDEV,2026-04-24,2026-05-12,30.0,443.3525971428571,482.64333999999997,1178.7222857142854,8.862188495195067,1.2660269278850105,0.07,11.130509480525763,-9.146804914236295,1.5900727829322516,-1.3066864163194705,18
LAULAB,2026-05-04,2026-05-12,30.0,1156.5225866666667,1269.1303599999999,3378.233199999995,9.736755220483118,1.3909650314975897,0.07,9.639017397371719,0.6551893945428988,1.377002485338817,0.09359848493469983,8
CHEPET,2026-03-17,2026-05-12,10.0,1018.4967199999999,1036.97107,184.74350000000186,1.8138840938044742,0.18138840938044637,0.1,11.880576306617874,-7.21128684636313,1.1880576306617874,-0.7211286846363129,56
SCI,2026-05-04,2026-05-12,50.0,318.239468,335.775136,876.7833999999993,5.51021157438587,0.7871730820551229,0.07,7.042034145180254,-1.7563717143971647,1.0060048778828934,-0.25091024491388064,8
SCI,2026-05-08,2026-05-12,40.0,328.5828975,331.22898,105.84329999999909,0.8053013471280845,0.11504304958972567,0.07,3.6724682239433815,-0.9838909829444131,0.5246383177061973,-0.14055585470634474,4
NEYLIG,2026-04-16,2026-05-12,30.0,302.77052133333336,311.91934249999997,274.4646349999982,3.0217014279914967,0.43167163257021257,0.07,8.894352907302627,-1.9389342487772354,1.2706218439003754,-0.2769906069681765,26
NEYLIG,2026-04-24,2026-05-12,10.0,303.91075714285716,311.91934249999997,80.08585357142806,2.6351766658191167,0.3764538094027323,0.07,8.485794678541204,-1.582950596446242,1.2122563826487434,-0.22613579949232027,18
NEYLIG,2026-04-24,2026-05-12,25.0,303.91075714285716,311.8694266666667,198.96673809523833,2.618752162190985,0.37410745174156773,0.07,8.485794678541204,-1.582950596446242,1.2122563826487434,-0.22613579949232027,18
NEYLIG,2026-04-27,2026-05-12,5.0,314.0972075,311.8694266666667,-11.138904166666634,-0.709264769039164,-0.10132353843416574,0.07,4.967504367258657,-1.909347602206879,0.709643481036951,-0.27276394317241126,15
CHEPET,2026-03-17,2026-05-12,10.0,1018.4967199999999,1023.6824899999999,51.85770000000048,0.5091592243910315,0.05091592243910268,0.1,11.880576306617874,-7.21128684636313,1.1880576306617874,-0.7211286846363129,56
RBLBAN,2026-04-29,2026-05-12,30.0,342.433234,329.1372166666667,-398.88052000000016,-3.882805759832686,-0.554686537118955,0.07,0.9685876459058829,-5.017980818999601,0.1383696637008404,-0.7168544027142287,13
SANMAN,2026-05-07,2026-05-12,100.0,219.352739,228.483543,913.0803999999983,4.162612257146225,0.5946588938780331,0.07,9.918846283474036,-1.0908179268278917,1.4169780404962906,-0.1558311324039845,5
SARENE,2026-04-16,2026-05-12,20.0,598.8731133333333,563.9470933333333,-698.5203999999999,-5.831956590203468,-0.8331366557433519,0.07,2.30881740369111,-6.13203573774287,0.3298310576701586,-0.8760051053918385,26
SARENE,2026-04-27,2026-05-12,20.0,611.49188,563.9470933333333,-950.8957333333342,-7.775211449523534,-1.1107444927890762,0.07,0.1975692628984671,-8.0690981538463,0.028224180414066723,-1.1527283076923283,15
SARENE,2026-04-27,2026-05-12,20.0,614.2344350000001,563.9470933333333,-1005.746833333335,-8.186994867304486,-1.169570695329213,0.07,-0.24981259801887257,-8.479569368330854,-0.03568751400269608,-1.2113670526186935,15
DEEDEV,2026-04-24,2026-05-12,5.0,443.3525971428571,480.20246571428567,184.24934285714272,8.311639270617555,1.1873770386596503,0.07,11.130509480525763,-9.146804914236295,1.5900727829322516,-1.3066864163194705,18
