sym,fund,entry,exit,conv,qty,entry_px,exit_px,cost,pnl,ret_pct,R,mfe_pct,mae_pct,hold,mtf_days,state,rd,fin,pnl_net,R_net
INDMFA,MTF,2026-04-27,2026-04-27,,20.0,1537.230725,1531.43244,30744.614499999996,-115.96569999999701,-0.37719028807466914,-0.05388432686781012,-0.9972949896639438,-0.9972949896639438,0,0,closed,0.0,0.0,-115.96569999999701,-0.05388432686781012
ASHMIN,CNC,2026-04-27,2026-04-27,,30.0,642.0963533333332,625.11651,19262.8906,-509.39529999999877,-2.644438524714454,-0.37777693210206453,-3.0986554011784517,-3.0986554011784517,0,0,closed,0.0,0.0,-509.39529999999877,-0.37777693210206453
NATMIN,CNC,2026-04-27,2026-04-27,,200.0,90.8836305,90.3264855,18176.7261,-111.42899999999827,-0.6130311882732165,-0.08757588403903123,-0.5101364211017034,-0.5101364211017034,0,0,closed,0.0,0.0,-111.42899999999827,-0.08757588403903123
NEYLIG,MTF,2026-04-27,2026-04-27,,40.0,314.0972075,314.63352249999997,12563.8883,21.4525999999978,0.17074809555572834,0.024392585079388428,-0.07870413811303933,-0.07870413811303933,0,0,closed,0.0,0.0,21.4525999999978,0.024392585079388428
SARENE,MTF,2026-04-27,2026-04-27,,20.0,611.49188,613.836035,12229.8376,46.88310000000001,0.38335014358652497,0.05476430622664781,0.1975692628984671,0.1975692628984671,0,0,closed,0.0,0.0,46.88310000000001,0.05476430622664781
JAYNE,CNC,2026-04-27,2026-04-27,,100.0,103.862492,104.59138300000001,10386.2492,72.88910000000044,0.7017846250020776,0.10025494642886705,0.18053485564355487,0.18053485564355487,0,0,closed,0.0,0.0,72.88910000000044,0.10025494642886705
JAYNE,CNC,2026-04-27,2026-04-28,,100.0,103.908693,109.54182,10390.8693,563.3127000000002,5.421227846644161,0.7744611209491671,5.679319823607054,0.13599150939180848,1,0,closed,0.0,0.0,563.3127000000002,0.7744611209491671
ADAPOR,MTF,2026-04-27,2026-04-29,,10.0,1652.2977749999998,1664.2202300000001,16522.97775,119.22455000000355,0.7215681810138763,0.10308116871626895,0.5327263119990766,-1.4402836679968112,2,2,closed,33045.9555,10.83327033315227,108.39127966685128,0.09371475746153503
DELLIM,CNC,2026-04-29,2026-04-29,,40.0,470.620415,465.32724500000006,18824.8166,-211.72679999999673,-1.124721714420296,-0.16067453063147105,-0.9180254112010733,-0.9180254112010733,0,0,closed,0.0,0.0,-211.72679999999673,-0.16067453063147105
CAREVE,MTF,2026-04-29,2026-04-30,,15.0,749.1050333333334,707.7781933333333,11236.5755,-619.9026000000009,-5.516828503488458,-0.7881183576412084,-1.1353592560295667,-5.607362314256692,1,1,closed,11236.5755,3.6836235529753605,-623.5862235529763,-0.7928015632685754
ADAPOR,MTF,2026-04-27,2026-04-30,,10.0,1652.2977749999998,1621.37351,16522.97775,-309.2426499999988,-1.871591517455129,-0.26737021677930456,0.5327263119990766,-1.4402836679968112,3,3,closed,49568.933249999995,16.249905499728406,-325.4925554997272,-0.28141983366140544
BHAFOR,MTF,2026-04-29,2026-04-30,,10.0,1947.7986250000001,1877.95336,19477.98625,-698.4526500000015,-3.5858565718003943,-0.5122652245429129,-2.053529789302533,-3.398638039391788,1,1,closed,19477.98625,6.38535903710434,-704.8380090371058,-0.5169484301702798
GUJMI,MTF,2026-04-28,2026-05-04,,20.0,720.447795,724.1479999999999,14408.9559,74.00409999999738,0.513597935295218,0.07337113361360145,2.7208362821069976,-0.8394494426900212,6,6,closed,86453.7354,28.341643409252192,45.66245659074519,0.045271899849399694
INDMFA,MTF,2026-04-27,2026-05-04,,20.0,1534.785545,1389.406375,30695.7109,-2907.5833999999986,-9.472279073360701,-1.353182724765814,7.760983636316432,-6.833889291027939,7,7,closed,214869.97629999998,70.43961975122558,-2978.023019751224,-1.3859651641573827
ZYDWEL,MTF,2026-04-29,2026-05-04,,20.0,500.75634,514.70218,10015.1268,278.9167999999995,2.7849552538865563,0.3978507505552208,1.7460907234843948,-0.06117546110350203,5,5,closed,50075.634,16.416014365993778,262.50078563400575,0.374434722418386
NATMIN,MTF,2026-04-28,2026-05-04,,200.0,91.604048,88.448341,18320.8096,-631.1414000000013,-3.4449427387750475,-0.4921346769678635,0.1374961071589409,-2.7444726023461374,6,6,closed,109924.8576,36.036049818988225,-667.1774498189895,-0.5202339107320653
ATHENE,MTF,2026-04-29,2026-05-05,,15.0,954.0668533333334,908.8004733333333,14311.0028,-678.9957000000004,-4.74457107925379,-0.6777958684648273,-1.642112738598589,-2.103296353208739,6,6,closed,85866.0168,28.148974915414218,-707.1446749154146,-0.7058951022290291
ZYDWEL,MTF,2026-05-04,2026-05-05,,40.0,514.54679,502.0835599999999,20581.8716,-498.5292000000027,-2.4221762223023635,-0.3460251746146231,-0.9808223660281667,-2.0885933425024317,1,1,closed,20581.8716,6.747239582920495,-505.27643958292316,-0.3507083802419901
DYNTEC,MTF,2026-05-05,2026-05-05,,1.0,11575.7369,12166.4442,11575.7369,590.7073,5.102977936549347,0.7289968480784764,5.582911097435184,5.582911097435184,0,0,closed,0.0,0.0,590.7073,0.7289968480784764
SCI,MTF,2026-04-28,2026-05-05,,75.0,298.47970933333335,319.9027733333333,22385.9782,1606.7297999999964,7.177393749092431,1.0253419641560628,7.327228613132486,1.547941291214161,7,7,closed,156701.8474,51.370688149373514,1555.3591118506229,0.992559524764494
ABB,MTF,2026-05-05,2026-05-05,,2.0,7295.0912,7337.2873,14590.1824,84.39220000000023,0.5784177173823402,0.08263110248319173,0.45110882232699545,0.45110882232699545,0,0,closed,0.0,0.0,84.39220000000023,0.08263110248319173
SYRTEC,MTF,2026-05-04,2026-05-06,,10.0,1005.2688,1046.9538,10052.688,416.84999999999945,4.146652119313754,0.5923788741876791,5.379775041262591,1.321159077054812,2,2,closed,20105.376,6.591032701647004,410.25896729835245,0.5830124629329452
LUPIN,CNC,2026-05-06,2026-05-06,,10.0,2376.75634,2441.93456,23767.5634,651.7822000000024,2.7423181292534293,0.39175973275048964,2.7829381955072563,2.7829381955072563,0,0,closed,0.0,0.0,651.7822000000024,0.39175973275048964
NATPHA,MTF,2026-05-04,2026-05-06,,10.0,1130.118952,1147.97559,11301.18952,178.56637999999975,1.580067121996187,0.22572387457088514,1.768048218697582,-1.3732140295971362,2,2,closed,22602.37904,7.409611209840633,171.15676879015913,0.21635746331615122
NATPHA,MTF,2026-05-04,2026-05-06,,15.0,1130.118952,1148.957108,16951.78428,282.5723400000004,1.666917979444693,0.23813113992067148,1.768048218697582,-1.3732140295971362,2,2,closed,33903.56856,11.114416814760947,271.45792318523945,0.22876472866593756
NATPHA,CNC,2026-05-06,2026-05-06,,10.0,1145.77132,1148.957108,11457.7132,31.857880000000023,0.2780474554032297,0.03972106505760431,0.37779615569359937,0.37779615569359937,0,0,closed,0.0,0.0,31.857880000000023,0.03972106505760431
SYRTEC,MTF,2026-05-06,2026-05-07,,10.0,1060.8476,1096.85117,10608.476,360.03569999999854,3.393849408718075,0.4848356298168673,3.068527468035942,-0.14117013603086592,1,1,closed,10608.476,3.477717215069114,356.55798278492944,0.4801524241895003
BAJCOR,MTF,2026-04-28,2026-05-07,,30.0,464.18302,507.85187,13925.4906,1310.0655000000006,9.407679324418194,1.3439541892026006,12.31561206181131,-2.9585356224361647,9,9,closed,125329.4154,41.0860396433124,1268.9794603566882,1.301805338556298
BANMAH,MTF,2026-04-29,2026-05-07,,200.0,80.902559,84.06598050000001,16180.5118,632.6843000000025,3.9101624708805627,0.5585946386972245,5.447838800747951,-3.1303818214204915,8,8,closed,129444.0944,42.434931792645,590.2493682073575,0.5211289936782888
NEYLIG,MTF,2026-04-27,2026-05-07,,30.0,315.583735,321.6288,9467.51205,181.35195000000067,1.9155185548456855,0.2736455078350972,4.156191699803546,-0.5493740037014194,10,10,closed,94675.12049999999,31.03681399680715,150.31513600319352,0.22681345156142763
DYNTEC,MTF,2026-05-05,2026-05-08,,1.0,12204.3261,12314.3995,12204.3261,110.07339999999931,0.9019211638404023,0.12884588054863044,2.6685119467595886,0.14481668102919176,3,3,closed,36612.9783,12.002627420645709,98.0707725793536,0.11479626366652956
ABB,MTF,2026-05-05,2026-05-08,,2.0,7351.7576,7086.29495,14703.5152,-530.925299999999,-3.610873269271009,-0.5158390384672862,-0.32315537715770226,-4.614646162980129,3,3,closed,44110.5456,14.460512876610283,-545.3858128766093,-0.529888655349387
NETTEC,MTF,2026-05-05,2026-05-08,,3.0,4153.2447,4366.7114,12459.734100000001,640.4000999999998,5.139757356459151,0.7342510509227362,6.475787472864281,0.5984549862906086,3,3,closed,37379.202300000004,12.253814339049365,628.1462856609505,0.7202014340406353
LUPIN,CNC,2026-05-08,2026-05-08,,8.0,2459.5692124999996,2390.1067125,19676.553699999997,-555.6999999999971,-2.824173422198406,-0.4034533460283437,-3.2554161148656724,-3.2554161148656724,0,0,closed,0.0,0.0,-555.6999999999971,-0.4034533460283437
DYNTEC,MTF,2026-05-08,2026-05-11,,1.0,12805.4256,12093.036,12805.4256,-712.3896000000004,-5.563185654680625,-0.7947408078115179,-2.1508508081137134,-11.584352182718549,3,3,closed,38416.2768,12.593792658457277,-724.9833926584577,-0.8087904246936188
JAYNE,CNC,2026-05-05,2026-05-11,,150.0,112.877628,111.81304866666667,16931.6442,-159.6868999999991,-0.9431269527858333,-0.13473242182654743,1.8182274347579463,-2.106376650650388,6,0,closed,0.0,0.0,-159.6868999999991,-0.13473242182654743
INOIND,MTF,2026-05-04,2026-05-11,,25.0,1484.39496,1449.892752,37109.874,-862.5552000000027,-2.3243280211622475,-0.3320468601660351,4.722802346351274,-1.7579526139054114,7,7,closed,259769.11800000002,85.15865366636264,-947.7138536663654,-0.3648292995576038
ONGC,CNC,2026-04-28,2026-05-11,,75.0,293.940632,279.32846133333334,22045.5474,-1095.9127999999992,-4.971129907166649,-0.710161415309521,2.537712445280449,-5.014833063296942,13,0,closed,0.0,0.0,-1095.9127999999992,-0.710161415309521
OILIND,CNC,2026-04-28,2026-05-11,,40.0,492.53958249999994,455.54928,19701.5833,-1479.612099999997,-7.510117727441723,-1.0728739610631028,0.946201618222231,-8.586027195083334,13,0,closed,0.0,0.0,-1479.612099999997,-1.0728739610631028
RISINS,MTF,2026-05-08,2026-05-11,,2.0,525.940885,518.5785999999999,1051.88177,-14.724570000000085,-1.3998312757145803,-0.19997589653065403,0.22989560889528082,-4.647078349879563,3,3,closed,3155.64531,1.034497511163631,-15.759067511163716,-0.21402551341275491
RISINS,MTF,2026-05-08,2026-05-11,,18.0,525.940885,498.06031666666667,9466.93593,-501.85022999999967,-5.3010840435676165,-0.7572977205096597,0.22989560889528082,-4.647078349879563,3,3,closed,28400.80779,9.310477600472678,-511.16070760047234,-0.7713473373917606
BLIGVS,MTF,2026-05-07,2026-05-11,,50.0,275.35330999999996,271.04900399999997,13767.6655,-215.21529999999984,-1.5631938472067008,-0.22331340674381459,-1.163345376164171,-2.071269816948995,4,4,closed,55070.662,18.05350639268567,-233.26880639268552,-0.24204622925328242
SMSPHA,CNC,2026-05-11,2026-05-11,,25.0,430.56444799999997,415.894012,10764.1112,-366.7608999999999,-3.4072566994662767,-0.48675095706661103,-2.604592193361943,-2.604592193361943,0,0,closed,0.0,0.0,-366.7608999999999,-0.48675095706661103
SARENE,MTF,2026-04-27,2026-05-11,,20.0,614.2344350000001,577.322165,12284.688700000002,-738.2454000000007,-6.009475844512046,-0.8584965492160063,-0.24981259801887257,-5.728176897148418,14,14,closed,171985.64180000004,56.3810887852855,-794.6264887852863,-0.9240614279991437
TOUFIN,CNC,2026-05-06,2026-05-11,,150.0,77.433282,80.71930266666666,11614.992300000002,492.90309999999874,4.243679954914814,0.6062399935592586,8.080140526653622,3.7280067762076596,5,0,closed,0.0,0.0,492.90309999999874,0.6062399935592586
NETTEC,MTF,2026-05-08,2026-05-12,,2.0,4445.2708,4008.5268285714287,8890.5416,-873.487942857143,-9.824912611141068,-1.403558944448724,-0.5189965029802068,-9.65679751163867,4,4,closed,35562.1664,11.658145646408817,-885.1460885035518,-1.4222917669581918
DEEDEV,MTF,2026-04-29,2026-05-12,,30.0,418.8415833333333,482.64333999999997,12565.2475,1914.0527000000002,15.232908862320471,2.1761298374743516,17.63397418156707,-0.43968493258885744,13,13,closed,163348.2175,53.549530399145354,1860.5031696008548,2.115248164318581
LAULAB,MTF,2026-05-04,2026-05-12,,30.0,1156.5225866666667,1269.1303599999999,34695.6776,3378.233199999995,9.736755220483118,1.3909650314975897,9.639017397371719,0.6551893945428988,8,8,closed,277565.4208,90.9927158457127,3287.2404841542825,1.353499386478654
CHEPET,MTF,2026-04-28,2026-05-12,,10.0,1078.11611,1036.97107,10781.1611,-411.4503999999988,-3.8163830053517978,-0.5451975721931138,5.693625151376325,-6.3458944139142766,14,14,closed,150936.2554,49.480586446408374,-460.9309864464072,-0.6107624509762513
SCI,MTF,2026-05-04,2026-05-12,,50.0,318.239468,335.775136,15911.973399999999,876.7833999999993,5.51021157438587,0.7871730820551229,7.042034145180254,-1.7563717143971647,8,8,closed,127295.78719999999,41.730664286860296,835.0527357131391,0.7497074370361873
SCI,MTF,2026-05-08,2026-05-12,,40.0,328.5828975,331.22898,13143.3159,105.84329999999909,0.8053013471280845,0.11504304958972567,3.6724682239433815,-0.9838909829444131,4,4,closed,52573.2636,17.234798275839662,88.60850172415942,0.09631022708025783
NEYLIG,MTF,2026-04-27,2026-05-12,,10.0,315.583735,311.91934249999997,3155.83735,-36.643925000000195,-1.1611474526721177,-0.16587820752458793,4.473064811150684,-2.3713943939474458,15,15,closed,47337.560249999995,15.518406998403576,-52.16233199840377,-0.23612629193509233
NEYLIG,MTF,2026-05-07,2026-05-12,,30.0,327.4490433333333,311.91934249999997,9823.4713,-465.8910249999997,-4.7426313038650525,-0.6775187576950081,0.6874219706836326,-5.909024236676885,5,5,closed,49117.356499999994,16.10186762535324,-481.9928926253529,-0.700934785831843
NEYLIG,MTF,2026-05-07,2026-05-12,,30.0,329.06008,311.8694266666667,9871.8024,-515.7195999999999,-5.224168587491174,-0.7463097982130249,0.1944690465035981,-6.369681791847858,5,5,closed,49359.012,16.181088193177136,-531.9006881931771,-0.7697258263498598
