date,mtf_balance,draw,repay,interest,pledge_sof,pledge_dn
2026-08-24,306590.8,12643.91,24980.0,156.84,0.0,0.0
2026-08-25,277660.1,44110.28,73040.98000000001,78.42,50.0,59.0
2026-08-26,332539.05,155812.66,100933.71,84.54,0.0,0.0
2026-08-27,335335.27,35565.14,32768.92,81.22,175.0,206.5
2026-08-28,397365.42,173088.0,111057.85,80.94,25.0,29.5
2026-08-29,,,,88.28,250.0,295.0
2026-08-31,371553.78,117602.54,143414.18,178.04,0.0,0.0
2026-09-01,253663.41,114821.53,232711.9,89.02,50.0,59.0
2026-09-02,276310.36,79160.54999999999,56513.6,104.98,250.0,295.0
2026-09-03,285566.11,157032.11000000002,147776.36,98.21,175.0,206.5
2026-09-04,330656.93,137540.26,92449.44,67.03,0.0,0.0
2026-09-05,,,,73.35,100.0,118.0
